trial,text1,image1,image2,image3,image4
1,eating,0.96875,0.0125,0.008333333333333333,0.010416666666666666
2,picking,0.9454926624737946,0.006289308176100629,0.0041928721174004195,0.0440251572327044
3,sitting,0.9596602972399151,0.010615711252653927,0.014861995753715499,0.014861995753715499
4,running,0.9503105590062112,0.014492753623188406,0.012422360248447204,0.022774327122153208
5,long,0.9770833333333333,0.00625,0.00625,0.010416666666666666
6,tall,0.9290187891440501,0.025052192066805846,0.029227557411273485,0.016701461377870562
7,red,0.9708333333333333,0.010416666666666666,0.010416666666666666,0.008333333333333333
8,black,0.9678800856531049,0.006423982869379015,0.008565310492505354,0.017130620985010708
9,the boy is running,0.9639065817409767,0.006369426751592357,0.014861995753715499,0.014861995753715499
10,the big cup,0.9338842975206612,0.010330578512396695,0.02066115702479339,0.03512396694214876
11,the dog is sitting,0.9619450317124736,0.019027484143763214,0.006342494714587738,0.012684989429175475
12,the red ball,0.9693877551020408,0.01020408163265306,0.01020408163265306,0.01020408163265306
13,the boy is not running,0.9208333333333333,0.05416666666666667,0.010416666666666666,0.014583333333333334
14,the dog is not drinking,0.9456066945606695,0.02092050209205021,0.027196652719665274,0.006276150627615063
15,the girl is not jumping,0.9517819706498952,0.006289308176100629,0.03773584905660377,0.0041928721174004195
16,the dog is not sitting,0.951063829787234,0.03404255319148936,0.006382978723404255,0.00851063829787234
17,the boy is jumping over the box,0.9625,0.0125,0.0125,0.0125
18,the girl is sitting on the table,0.9481327800829875,0.016597510373443983,0.02074688796680498,0.014522821576763486
19,the man is eating the apple,0.9577167019027484,0.014799154334038054,0.019027484143763214,0.008456659619450317
20,the lady is carrying the bag,0.9096638655462185,0.04831932773109244,0.023109243697478993,0.01680672268907563
21,they are sitting on the table,0.9311827956989247,0.03655913978494624,0.015053763440860216,0.015053763440860216
22,the cow is looking at them,0.9016736401673641,0.027196652719665274,0.060669456066945605,0.010460251046025104
23,they are jumping over the wall,0.9163179916317992,0.02510460251046025,0.043933054393305436,0.014644351464435146
24,the elephant is carrying them,0.9232365145228216,0.008298755186721992,0.03734439834024896,0.03112033195020747
25,the girl is pushing the horse,0.9393305439330544,0.02510460251046025,0.010460251046025104,0.02510460251046025
26,the boy is chasing the sheep,0.9351464435146444,0.029288702928870293,0.02092050209205021,0.014644351464435146
27,the man is chasing the dog,0.9381663113006397,0.029850746268656716,0.019189765458422176,0.01279317697228145
28,the cow is pushing the lady,0.9517819706498952,0.014675052410901468,0.012578616352201259,0.020964360587002098
29,the cats look at the ball,0.8991596638655462,0.01050420168067227,0.06092436974789916,0.029411764705882353
30,the boy stands on the chairs,0.8389121338912134,0.02092050209205021,0.02510460251046025,0.11506276150627615
31,the boys pick the apples,0.859538784067086,0.010482180293501049,0.11530398322851153,0.014675052410901468
32,the girl drops the cups,0.8891213389121339,0.008368200836820083,0.010460251046025104,0.09205020920502092
33,the fork is longer than the pencil,0.8765957446808511,0.010638297872340425,0.027659574468085105,0.08297872340425531
34,the box is bigger than the cup,0.9453781512605042,0.02100840336134454,0.008403361344537815,0.025210084033613446
35,the shoe is bigger than the bird,0.9112050739957717,0.016913319238900635,0.010570824524312896,0.0613107822410148
36,the horse is taller than the wall,0.9264705882352942,0.012605042016806723,0.012605042016806723,0.04831932773109244
37,the girl is chased by the horse,0.906054279749478,0.033402922755741124,0.031315240083507306,0.027139874739039668
38,the elephant is pushed by the boy,0.8071278825995807,0.014675052410901468,0.008385744234800839,0.16771488469601678
39,the horse is chased by the man,0.7109207708779444,0.027837259100642397,0.24411134903640258,0.017130620985010708
40,the cow is pushed by the man,0.7394957983193278,0.01050420168067227,0.012605042016806723,0.23739495798319327
41,the cup is in the box,0.9395833333333333,0.020833333333333332,0.03333333333333333,0.00625
42,the pencil is on the box,0.8084210526315789,0.02736842105263158,0.01263157894736842,0.15157894736842106
43,the circle is in the star,0.8375,0.016666666666666666,0.13958333333333334,0.00625
44,the fork is on the shoe,0.803680981595092,0.026584867075664622,0.010224948875255624,0.15950920245398773
45,the boy chasing the horse is tall,0.8559322033898306,0.04025423728813559,0.07415254237288135,0.029661016949152543
46,the pencil on the shoe is blue,0.8526970954356846,0.02074688796680498,0.08921161825726141,0.03734439834024896
47,the cow chasing the cat is brown,0.6821052631578948,0.03368421052631579,0.21473684210526317,0.06947368421052631
48,the circle in the star is yellow,0.701271186440678,0.2097457627118644,0.046610169491525424,0.04025423728813559
49,the box but not the chair is red,0.813953488372093,0.09725158562367865,0.046511627906976744,0.042283298097251586
50,the cat is big but not black,0.8768267223382046,0.03966597077244259,0.031315240083507306,0.05219206680584551
51,the horse but not the boy is standing,0.6029411764705882,0.12184873949579832,0.1953781512605042,0.07983193277310924
52,the boy is sitting but not eating,0.9480249480249481,0.014553014553014554,0.02702702702702703,0.010395010395010396
53,the pencil is above the flower,0.8204592901878914,0.03549060542797495,0.054279749478079335,0.08977035490605428
54,the comb is below the spoon,0.7226890756302521,0.052521008403361345,0.19957983193277312,0.025210084033613446
55,the star is above the circle,0.906054279749478,0.03966597077244259,0,0.05219206680584551
56,the square is below the star,0.7595744680851064,0.031914893617021274,0.01702127659574468,0.19148936170212766
57,not only the bird but also the flower is blue,0.934322033898305,0.038135593220338986,0.006355932203389831,0.019067796610169493
58,the box is not only big but also blue,0.9079497907949791,0.01882845188284519,0.060669456066945605,0.012552301255230125
59,not only the girl but also the cat is sitting,0.8682008368200836,0.006276150627615063,0.03347280334728033,0.09205020920502092
60,the girl has not only food but also a drink,0.925,0.03125,0.0125,0.029166666666666667
61,the pencil is on the book that is yellow,0.7928118393234672,0.021141649048625793,0.05708245243128964,0.12684989429175475
62,the girl chases the dog that is big,0.9326315789473684,0.023157894736842106,0.031578947368421054,0.01263157894736842
63,the square is in the star that is blue,0.6182572614107884,0.0912863070539419,0.08506224066390042,0.2033195020746888
64,the dog chases the horse that is brown,0.8151260504201681,0.04201680672268908,0.03991596638655462,0.10294117647058823
65,neither the dog nor the ball is brown,0.8336798336798337,0.029106029106029108,0.08108108108108109,0.056133056133056136
66,the pencil is neither long nor red,0.774468085106383,0.05319148936170213,0.06595744680851064,0.10638297872340426
67,neither the boy nor the horse is running,0.8404907975460123,0.08588957055214724,0.034764826175869123,0.03885480572597137
68,the boy has neither hat nor shoes,0.819327731092437,0.09243697478991597,0.05042016806722689,0.037815126050420166
69,the book the pencil is on is red,0.7697095435684648,0.004149377593360996,0.22199170124481327,0.004149377593360996
70,the cat the cow chases is black,0.3700623700623701,0.10810810810810811,0.40124740124740127,0.12058212058212059
71,the circle the star is in is red,0.5541666666666667,0.4166666666666667,0.0125,0.016666666666666666
72,the boy the dog chases is big,0.17291666666666666,0.14791666666666667,0.6,0.07916666666666666
73,the horse drank water by the barn and the sheep ate grass by the fence,0.9140461215932913,0.027253668763102725,0.031446540880503145,0.027253668763102725
74,we will have a picnic in the park if it is sunny,0.9081419624217119,0.020876826722338204,0.05845511482254697,0.012526096033402923
75,he found his keys under the couch with the pillows,0.5217391304347826,0.026915113871635612,0.32712215320910976,0.12422360248447205
76,she is the gardener who wears the hat that has a flower,0.8021052631578948,0.04421052631578947,0.07578947368421053,0.07789473684210527
77,we will dance together if someone is playing music,0.8260869565217391,0.07453416149068323,0.028985507246376812,0.07039337474120083
78,"he likes swimming, however, he chose to play soccer with his friends",0.9090909090909091,0.01859504132231405,0.047520661157024795,0.024793388429752067
